,OBJID,RA_PSEUDOHOST,DEC_PSEUDOHOST,Z,ZERR,ZWARN,DELTACHI2,SPECTYPE
2023,T202104181414072m025613,213.525320462093,-2.937483443908999,,,,,
2024,A202105241218204m003755,184.5850181981516,-0.6322728229124147,0.276993002767808,2.71879274011686e-05,0,2429.76813565195,QSO
2025,T202104061427194p020422,216.83106991918424,2.0831754016530017,,,,,
2026,A202104151433559m013214,218.4811904083301,-1.537412561923111,0.237419382507295,6.40556634529932e-05,0,311.80644085072,GALAXY
2027,A202104151452344p020429,223.1643468532488,2.078285980643458,,,,,
2028,A202103221429185p000158,217.32457575316965,0.045097512485662,,,,,
2029,A202103221432336m004933,218.14007068923263,-0.8259186468271135,0.852855592138701,7.37667990638907e-05,0,2479.93942949176,QSO
2030,A202104151446165p011052,221.56844809552703,1.1823437373923489,,,,,
2031,T202104061450248p010428,222.6024618848727,1.074000661338802,,,,,
2032,T202105151446295p002456,221.6231150255437,0.4146957710657001,,,,,
2033,A202103221420414m032301,215.1752086868135,-3.379194337016245,,,,,
2034,A202103221451458p004134,222.9410933512312,0.6927517184652787,0.73444523479629,4.43490782243983e-05,0,359.729221463203,GALAXY
2035,A202103221438084p001430,219.5349856596148,0.2418624882945855,0.329999627264082,6.97465521790325e-05,0,2546.21859635413,QSO
2036,A202105301417286p012914,214.3692149387462,1.48718293125338,0.180481154900417,2.85332433101653e-05,0,601.812895665178,GALAXY
2037,A202104271200505p000403,180.21040564971383,0.0676333524215997,,,,,
2038,A202103221441336p003659,220.39037205320872,0.616387649499156,,,,,
2039,A202103221413409m033525,213.4203713629621,-3.590516897184153,,,,,
2040,A202104061418393m002629,214.66386282282167,-0.441514938537884,,,,,
2041,A202103221407558m001825,211.99090497906363,-0.3012526293383591,0.142396750041478,1.05805658554592e-05,0,3187.95111524686,GALAXY
2042,T202104181452041m035005,223.02432569208807,-3.84115975024645,,,,,
2043,A202105121431099p020737,217.78446558071377,2.12620531194329,,,,,
2044,T202104061419591m013025,214.9982754728043,-1.5068923684613058,,,,,
2045,A202103221425464m000705,216.44228923489425,-0.1206979980279289,0.529495079818668,0.000119825799703866,4,2.8561291731894,GALAXY
2046,A202104061404587p013925,211.22524446502635,1.6558293595654434,,,,,
2047,A202103221446580m020454,221.74195749718265,-2.0818449532453704,,,,,
2048,A202105241159263p004157,179.83505092525124,0.7085972443306386,,,,,
2049,A202103221416166p021022,214.07670085261836,2.190033049746708,,,,,
2050,T202105241205392p020650,181.4185310741768,2.1082571731835884,,,,,
2051,A202104121410160m031040,212.57065535804017,-3.1736041473700185,,,,,
2052,A202104151408182m020337,212.07598697828377,-2.060568035762931,,,,,
2053,A202105031419033m022856,214.76410695593864,-2.4823864853204145,0.214286071117272,7.21121089347516e-05,0,453.067702688277,GALAXY
2054,T202103221414005m000548,213.5006974228438,-0.0957125035749248,,,,,
2055,A202105271159102m011022,179.79269233601795,-1.1728206794564382,0.921175885061245,4.30192538597701e-05,0,365.078862786293,GALAXY
2056,A202105301206363p001818,181.65139616031587,0.3051843870943602,0.140688770881219,5.98376121911506e-05,0,22.0817097947001,QSO
2057,T202103221432124p001325,218.0594050569446,0.2305605052627115,,,,,
2058,T202105301432117p040917,218.0121951242853,4.160420892855093,,,,,
2059,A202104151434435m011807,218.68155708050463,-1.3020821835569143,,,,,
2060,T202105061436562m014005,219.2378730547443,-1.671691373297839,,,,,
2061,T202106021353164p042814,208.3193090395585,4.467308537442228,,,,,
2062,A202104031434443p010221,218.67039111229727,1.0478155808174752,,,,,
2063,A202104151437294p000813,219.3686497418253,0.1343137608527696,,,,,
2064,T202105241210580p003234,182.74147233210104,0.5498927134921838,,,,,
2065,A202103221421240m003354,215.35029128738228,-0.5651836656998976,0.453386680219376,3.47035518659182e-05,0,1549.33595299721,QSO
2066,T202106021357453p041147,209.43940108050708,4.195302560447714,,,,,
2067,A202103221430439m014131,217.68684367786577,-1.6987802691210725,,,,,
2068,A202103221431532m032643,217.96866080638856,-3.4517176955559226,,,,,
2069,A202104061431099p025057,217.79772260536416,2.861977086628916,,,,,
2070,A202103221434357m033609,218.6488120728856,-3.602629411680061,0.867329387465462,8.61536085127148e-05,0,626.113553704694,QSO
2071,T202104061427261m014743,216.86423107259927,-1.7821738881190712,,,,,
2072,A202103221424417m031020,216.173793791197,-3.172348962082726,0.804646738604459,0.000104640025278416,0,515.949943032116,QSO
2073,T202105151405105p012827,211.2937790206787,1.4746893965471457,0.273372267078415,1.70151460982604e-05,0,664.525167435408,GALAXY
2074,T202103221436169m040845,219.0732049465313,-4.14917344669227,,,,,
2075,A202103221432414p004729,218.17278380346755,0.791586714070273,0.217945650323717,2.63019665170904e-05,0,8952.54400779307,QSO
2076,A202104061418038m015111,214.51576417506632,-1.8531843140721984,,,,,
2077,A202105151409456p005024,212.4513352498745,0.8489662605738716,,,,,
2078,T202105241209444p002250,182.4423632885316,0.3661677272466369,,,,,
